subject,condition,reaction_time,first_fixation,choice
13,eight-two,0.3232399999999416,eight,0
13,twelve-six,0.4365200000002005,twelve,0
13,eight-two,0.4211400000001504,eight,0
13,nine-three,0.29052999999998974,nine,0
13,nine-three,0.32348000000001775,nine,0
13,eight-two,0.35619999999994434,eight,0
13,twelve-six,0.32263000000011743,twelve,0
13,eight-two,0.32312000000001717,eight,0
13,ten-four,0.29138000000011743,ten,0
13,ten-four,0.3399699999999939,ten,0
13,nine-three,0.30762000000004264,nine,0
13,eleven-five,0.33996000000001914,eleven,0
13,seven-one,0.45263999999997395,seven,0
13,seven-one,0.32336000000009335,seven,0
13,eleven-five,0.35522000000014486,eleven,0
13,twelve-six,0.40465999999992164,twelve,0
13,twelve-six,0.30773999999996704,twelve,0
13,eleven-five,0.2915099999997892,eleven,0
13,seven-one,0.32324000000016895,one,1
13,seven-one,0.33971999999994296,one,1
13,eleven-five,0.35608000000001994,eleven,0
13,nine-three,0.32312000000001717,nine,0
13,ten-four,0.3720699999998942,ten,0
13,ten-four,0.2747799999999643,ten,0
13,eight-two,0.3236099999999169,eight,0
13,twelve-six,0.3876900000000205,twelve,0
13,eight-two,0.37193999999999505,eight,0
13,nine-three,0.33971999999994296,nine,0
13,nine-three,0.32385999999996784,nine,0
13,eight-two,0.355829999999969,eight,0
13,twelve-six,0.37193999999999505,twelve,0
13,eight-two,0.32263000000011743,eight,0
13,ten-four,0.4039299999999457,ten,0
13,ten-four,0.3400899999999183,ten,0
13,nine-three,0.37146000000007007,nine,0
13,eleven-five,0.3229999999998654,eleven,0
13,seven-one,0.355829999999969,seven,0
13,seven-one,0.467529999999897,seven,0
13,eleven-five,0.33972000000017033,eleven,0
13,twelve-six,0.3238499999999931,twelve,0
14,nine-three,0.3209499999999821,nine,0
14,nine-three,0.3201400000000092,nine,0
14,eleven-five,0.3413500000000056,eleven,0
14,eight-two,0.24745000000001482,eight,0
14,eight-two,0.27491000000003396,eight,0
14,twelve-six,0.3016399999999635,twelve,0
14,twelve-six,0.2207700000000159,twelve,0
14,ten-four,0.25501000000002705,ten,0
14,eleven-five,0.20980000000002974,eleven,0
14,ten-four,0.21346999999997252,ten,0
14,seven-one,0.2675800000000095,one,1
14,seven-one,0.2980699999999956,one,1
14,ten-four,0.16079999999999472,ten,0
14,eleven-five,0.269079999999974,eleven,0
14,ten-four,0.26908000000003085,ten,0
14,twelve-six,0.22726000000000113,twelve,0
14,twelve-six,0.21444999999999936,twelve,0
14,eight-two,0.28228999999998905,two,1
14,eight-two,0.26193000000000666,two,1
14,eleven-five,0.24069000000002916,eleven,0
14,nine-three,0.28091000000000577,nine,0
14,nine-three,0.22122000000001663,nine,0
14,seven-one,0.2894900000000007,seven,0
14,seven-one,0.24791999999996506,seven,0
14,nine-three,0.28153000000003203,nine,0
14,nine-three,0.29473999999999023,three,1
14,eleven-five,0.2477999999999838,eleven,0
14,eight-two,0.2679399999999532,two,1
14,eight-two,0.2479600000000346,two,1
14,twelve-six,0.26084000000003016,twelve,0
14,twelve-six,0.2077899999999886,twelve,0
14,ten-four,0.23449999999996862,ten,0
14,eleven-five,0.23604999999997744,eleven,0
14,ten-four,0.38217000000003054,ten,0
14,seven-one,0.30016999999998006,one,1
14,seven-one,0.23937999999998283,one,1
14,ten-four,0.3017600000000016,ten,0
14,eleven-five,0.26791000000002896,eleven,0
14,ten-four,0.23629999999997153,ten,0
14,twelve-six,0.2279399999999896,twelve,0
14,twelve-six,0.22107000000005428,twelve,0
14,eight-two,0.2553100000000086,two,1
14,eight-two,0.2075800000000072,two,1
